Timestamp,Delta_ms
2025-09-30T18:30:19.1729678Z,1,00
2025-09-30T18:30:19.2258511Z,13,60
2025-09-30T18:30:19.2772966Z,1,52
2025-09-30T18:30:19.3457567Z,1,56
2025-09-30T18:30:19.3993724Z,0,63
2025-09-30T18:30:19.4445848Z,1,02
2025-09-30T18:30:19.5165963Z,0,00
2025-09-30T18:30:19.5603891Z,1,00
2025-09-30T18:30:19.6083571Z,1,03
2025-09-30T18:30:19.6735741Z,2,54
2025-09-30T18:30:19.7276384Z,12,09
2025-09-30T18:30:19.7637682Z,1,51
2025-09-30T18:30:19.8098107Z,1,03
2025-09-30T18:30:19.8480343Z,1,00
2025-09-30T18:30:19.9110828Z,3,00
2025-09-30T18:30:19.9554807Z,1,51
2025-09-30T18:30:20.0104537Z,2,56
2025-09-30T18:30:20.0682272Z,3,60
2025-09-30T18:30:20.1019750Z,2,05
2025-09-30T18:30:20.1983086Z,1,00
2025-09-30T18:30:20.2641119Z,17,46
2025-09-30T18:30:20.3003266Z,2,05
2025-09-30T18:30:20.3627189Z,2,72
2025-09-30T18:30:20.4158873Z,3,55
2025-09-30T18:30:20.4587916Z,2,04
2025-09-30T18:30:20.4839347Z,0,00
2025-09-30T18:30:20.5184562Z,3,55
2025-09-30T18:30:20.5886219Z,27,79
2025-09-30T18:30:20.6238316Z,69,64
2025-09-30T18:30:20.6586107Z,35,23
2025-09-30T18:30:20.6887276Z,34,32
2025-09-30T18:30:20.7292979Z,32,21
2025-09-30T18:30:20.7868981Z,39,45
2025-09-30T18:30:20.8277136Z,57,07
2025-09-30T18:30:20.8655866Z,40,81
2025-09-30T18:30:20.8928777Z,37,89
2025-09-30T18:30:20.9860195Z,29,32
2025-09-30T18:30:21.0227379Z,90,59
2025-09-30T18:30:21.0762416Z,37,79
2025-09-30T18:30:21.1534084Z,53,97
2025-09-30T18:30:21.2079033Z,1,31
2025-09-30T18:30:21.2594828Z,2,03
2025-09-30T18:30:21.2903819Z,1,01
2025-09-30T18:30:21.3635674Z,2,98
2025-09-30T18:30:21.4111252Z,1,02
2025-09-30T18:30:21.4376447Z,0,99
2025-09-30T18:30:21.4762760Z,3,63
2025-09-30T18:30:21.5697466Z,1,00
2025-09-30T18:30:21.6476253Z,1,99
2025-09-30T18:30:21.7065790Z,0,00
2025-09-30T18:30:21.7555654Z,1,01
2025-09-30T18:30:21.8048456Z,3,55
2025-09-30T18:30:21.8740097Z,1,89
2025-09-30T18:30:21.9225114Z,1,51
2025-09-30T18:30:21.9797809Z,3,85
2025-09-30T18:30:22.0423562Z,1,01
2025-09-30T18:30:22.0652629Z,1,01
2025-09-30T18:30:22.1102446Z,1,02
2025-09-30T18:30:22.1384379Z,1,00
2025-09-30T18:30:22.2249397Z,1,82
2025-09-30T18:30:22.2573431Z,2,01
2025-09-30T18:30:22.2881495Z,1,01
2025-09-30T18:30:22.3614926Z,3,07
2025-09-30T18:30:22.3927884Z,0,00
2025-09-30T18:30:22.4276868Z,0,98
2025-09-30T18:30:22.4742794Z,3,61
2025-09-30T18:30:22.5655368Z,3,15
2025-09-30T18:30:22.6079204Z,1,00
2025-09-30T18:30:22.6394078Z,0,99
2025-09-30T18:30:22.7216527Z,1,52
2025-09-30T18:30:22.7781595Z,1,55
2025-09-30T18:30:22.8239762Z,1,53
2025-09-30T18:30:22.8954607Z,3,52
2025-09-30T18:30:22.9363260Z,1,00
2025-09-30T18:30:22.9794088Z,2,02
2025-09-30T18:30:23.0568497Z,2,53
2025-09-30T18:30:23.0897715Z,1,52
2025-09-30T18:30:23.2059057Z,2,03
2025-09-30T18:30:23.2365837Z,1,51
2025-09-30T18:30:23.2881391Z,3,50
2025-09-30T18:30:23.3736840Z,3,03
2025-09-30T18:30:23.3997348Z,0,51
2025-09-30T18:30:23.4382746Z,3,00
2025-09-30T18:30:23.4751334Z,1,03
2025-09-30T18:30:23.5193451Z,1,00
2025-09-30T18:30:23.5728502Z,14,79
2025-09-30T18:30:23.6204466Z,2,53
2025-09-30T18:30:23.6851958Z,3,56
2025-09-30T18:30:23.7500330Z,3,00
2025-09-30T18:30:23.7921492Z,1,52
2025-09-30T18:30:23.8429286Z,2,12
2025-09-30T18:30:23.9115354Z,2,02
2025-09-30T18:30:23.9570943Z,1,01
2025-09-30T18:30:24.0058471Z,1,02
2025-09-30T18:30:24.1173974Z,2,55
2025-09-30T18:30:24.1593680Z,0,00
2025-09-30T18:30:24.1997713Z,2,00
2025-09-30T18:30:24.2938114Z,1,53
2025-09-30T18:30:24.3393921Z,1,00
2025-09-30T18:30:24.3844939Z,1,52
2025-09-30T18:30:24.4186093Z,1,00
2025-09-30T18:30:24.5014053Z,2,02
2025-09-30T18:30:24.5430986Z,1,00
2025-09-30T18:30:24.5904415Z,1,52
2025-09-30T18:30:24.6936689Z,3,55
2025-09-30T18:30:24.7495286Z,0,99
2025-09-30T18:30:24.7982701Z,2,00
2025-09-30T18:30:24.8832475Z,2,03
2025-09-30T18:30:24.9187908Z,0,51
2025-09-30T18:30:24.9782633Z,4,59
2025-09-30T18:30:25.0654089Z,1,01
2025-09-30T18:30:25.1625783Z,9,72
2025-09-30T18:30:25.2002937Z,1,51
2025-09-30T18:30:25.2749960Z,2,42
2025-09-30T18:30:25.3214840Z,0,00
2025-09-30T18:30:25.4123168Z,2,53
2025-09-30T18:30:25.4513231Z,1,02
2025-09-30T18:30:25.5059228Z,3,59
2025-09-30T18:30:25.5753240Z,1,51
2025-09-30T18:30:25.6134806Z,1,51
2025-09-30T18:30:25.6546613Z,1,00
2025-09-30T18:30:25.7351633Z,1,49
2025-09-30T18:30:25.7938614Z,2,05
2025-09-30T18:30:25.8454323Z,1,00
2025-09-30T18:30:25.9071285Z,8,08
2025-09-30T18:30:25.9799066Z,1,00
2025-09-30T18:30:26.0563560Z,1,01
2025-09-30T18:30:26.0835686Z,1,51
2025-09-30T18:30:26.1233618Z,1,01
2025-09-30T18:30:26.1883345Z,1,00
2025-09-30T18:30:26.2454008Z,64,45
2025-09-30T18:33:35.2430099Z,0,00
2025-09-30T18:33:35.2887933Z,0,00
2025-09-30T18:33:35.3221565Z,0,00
2025-09-30T18:33:35.3576183Z,2,01
2025-09-30T18:33:35.3881012Z,0,00
2025-09-30T18:33:35.4386407Z,0,50
2025-09-30T18:33:35.4527381Z,0,00
2025-09-30T18:33:35.4861788Z,1,00
2025-09-30T18:33:35.5248953Z,2,08
2025-09-30T18:33:35.5521119Z,1,00
2025-09-30T18:33:35.6118491Z,0,00
2025-09-30T18:33:35.6367540Z,1,01
2025-09-30T18:33:35.6695494Z,1,01
2025-09-30T18:33:35.7029546Z,0,00
2025-09-30T18:33:35.7345605Z,1,01
2025-09-30T18:33:35.7834725Z,0,00
