Timestamp,Delta_ms
2025-09-30T18:43:48.1533187Z,20,44
2025-09-30T18:43:48.1568924Z,2,54
2025-09-30T18:43:48.1862243Z,29,37
2025-09-30T18:43:48.1887494Z,2,51
2025-09-30T18:43:48.2190070Z,30,28
2025-09-30T18:43:48.2210096Z,2,99
2025-09-30T18:43:48.2553802Z,34,37
2025-09-30T18:43:48.2601472Z,3,73
2025-09-30T18:43:48.3006784Z,39,57
2025-09-30T18:43:48.3092912Z,6,03
2025-09-30T18:43:48.3663297Z,59,58
2025-09-30T18:43:48.3688529Z,3,56
2025-09-30T18:43:48.3877964Z,19,94
2025-09-30T18:43:48.3907944Z,2,00
2025-09-30T18:43:48.4229906Z,31,68
2025-09-30T18:43:48.4260058Z,3,53
2025-09-30T18:43:48.4550893Z,30,08
2025-09-30T18:43:48.4574075Z,1,00
2025-09-30T18:43:48.5118473Z,54,76
2025-09-30T18:43:48.5129960Z,1,00
2025-09-30T18:43:48.5437733Z,30,90
2025-09-30T18:43:48.5483148Z,3,53
2025-09-30T18:43:48.5718660Z,24,58
2025-09-30T18:43:48.5728843Z,2,01
2025-09-30T18:43:48.6105369Z,36,65
2025-09-30T18:43:48.6130422Z,3,00
2025-09-30T18:43:48.6459564Z,27,32
2025-09-30T18:43:48.6642697Z,11,75
2025-09-30T18:43:48.6870855Z,34,47
2025-09-30T18:43:48.6896317Z,2,56
2025-09-30T18:43:48.7262946Z,37,67
2025-09-30T18:43:48.7298271Z,2,53
2025-09-30T18:43:48.7598611Z,29,46
2025-09-30T18:43:48.7659642Z,6,16
2025-09-30T18:43:48.7969668Z,30,35
2025-09-30T18:43:48.8193807Z,23,58
2025-09-30T18:43:48.8384929Z,19,10
2025-09-30T18:43:48.8415255Z,3,01
2025-09-30T18:43:48.8797763Z,38,26
2025-09-30T18:43:48.8832918Z,3,02
2025-09-30T18:43:48.9058382Z,23,06
2025-09-30T18:43:48.9118727Z,3,51
2025-09-30T18:43:48.9670312Z,40,19
2025-09-30T18:43:48.9690345Z,20,50
2025-09-30T18:43:48.9943641Z,22,74
2025-09-30T18:43:49.0000202Z,7,26
2025-09-30T18:43:49.0265594Z,26,01
2025-09-30T18:43:49.0295758Z,3,54
2025-09-30T18:43:49.0547926Z,25,21
2025-09-30T18:43:49.0573212Z,2,52
2025-09-30T18:43:49.1034650Z,42,12
2025-09-30T18:43:49.1150405Z,9,57
2025-09-30T18:43:49.1409461Z,32,95
2025-09-30T18:43:49.1449941Z,2,00
2025-09-30T18:43:49.1728918Z,28,44
2025-09-30T18:43:49.1744252Z,3,04
2025-09-30T18:43:49.2135049Z,39,08
2025-09-30T18:43:49.2145228Z,1,02
2025-09-30T18:43:49.2428457Z,23,77
2025-09-30T18:43:49.2509530Z,8,64
2025-09-30T18:43:49.2890283Z,41,10
2025-09-30T18:43:49.2915712Z,2,00
2025-09-30T18:43:49.3274286Z,36,38
2025-09-30T18:43:49.3294292Z,3,02
2025-09-30T18:43:49.3548091Z,24,38
2025-09-30T18:43:49.3582778Z,3,47
2025-09-30T18:43:49.3930818Z,35,80
2025-09-30T18:43:49.3972529Z,3,15
2025-09-30T18:43:49.4514301Z,55,20
2025-09-30T18:43:49.4544864Z,2,04
2025-09-30T18:43:49.4749469Z,21,48
2025-09-30T18:43:49.4769465Z,1,00
2025-09-30T18:43:49.5088541Z,31,91
2025-09-30T18:43:49.5109182Z,2,04
2025-09-30T18:43:49.5430930Z,32,18
2025-09-30T18:43:49.5456291Z,3,03
2025-09-30T18:43:49.5739392Z,27,81
2025-09-30T18:43:49.5759966Z,3,07
2025-09-30T18:43:49.6282752Z,51,28
2025-09-30T18:43:49.6297888Z,2,51
2025-09-30T18:43:49.6603687Z,28,50
2025-09-30T18:43:49.6638399Z,4,53
2025-09-30T18:43:49.6885930Z,25,78
2025-09-30T18:43:49.6901048Z,1,51
2025-09-30T18:43:49.7219882Z,31,88
2025-09-30T18:43:49.7250267Z,2,02
2025-09-30T18:43:49.7656753Z,36,60
2025-09-30T18:43:49.7830637Z,22,45
2025-09-30T18:43:49.8031899Z,19,11
2025-09-30T18:43:49.8057094Z,2,53
2025-09-30T18:43:49.8351361Z,29,42
2025-09-30T18:43:49.8376559Z,2,52
2025-09-30T18:43:49.8694124Z,31,77
2025-09-30T18:43:49.8714057Z,2,99
2025-09-30T18:43:49.9089014Z,36,50
2025-09-30T18:43:49.9141312Z,5,09
2025-09-30T18:43:49.9452901Z,25,41
2025-09-30T18:43:49.9599734Z,21,56
2025-09-30T18:43:49.9880961Z,27,12
2025-09-30T18:43:49.9896069Z,2,51
2025-09-30T18:43:50.0237370Z,33,11
2025-09-30T18:43:50.0272802Z,2,53
2025-09-30T18:43:50.0606689Z,33,90
2025-09-30T18:43:50.0631989Z,3,05
2025-09-30T18:43:50.1068037Z,43,58
2025-09-30T18:43:50.1159308Z,5,57
2025-09-30T18:43:50.1414307Z,30,08
2025-09-30T18:43:50.1439466Z,1,50
2025-09-30T18:43:50.1712917Z,27,36
2025-09-30T18:43:50.1728084Z,2,52
2025-09-30T18:43:50.2091220Z,35,29
2025-09-30T18:43:50.2111328Z,3,03
2025-09-30T18:43:50.2379265Z,25,80
2025-09-30T18:43:50.2399720Z,2,05
2025-09-30T18:43:50.2813373Z,37,80
2025-09-30T18:43:50.3015951Z,13,21
2025-09-30T18:43:50.3240011Z,33,00
2025-09-30T18:43:50.3291968Z,4,18
2025-09-30T18:43:50.3569168Z,29,75
2025-09-30T18:43:50.3609725Z,2,53
2025-09-30T18:43:50.3846957Z,25,25
2025-09-30T18:43:50.3882206Z,2,52
2025-09-30T18:43:50.4196622Z,30,93
2025-09-30T18:43:50.4216823Z,3,53
2025-09-30T18:43:50.4584080Z,31,18
2025-09-30T18:43:50.4691025Z,15,24
2025-09-30T18:43:50.5192295Z,50,13
2025-09-30T18:43:50.5217704Z,2,52
2025-09-30T18:43:50.5609799Z,38,96
2025-09-30T18:43:50.5629966Z,3,29
2025-09-30T18:43:50.5869498Z,22,94
2025-09-30T18:43:50.5884662Z,1,02
2025-09-30T18:43:50.6213495Z,33,40
2025-09-30T18:43:50.6273957Z,5,53
2025-09-30T18:43:50.6658823Z,31,73
2025-09-30T18:43:50.6788045Z,20,18
2025-09-30T18:43:50.7027713Z,23,47
2025-09-30T18:43:50.7043172Z,1,51
2025-09-30T18:43:50.7395674Z,35,82
2025-09-30T18:43:50.7431138Z,3,51
2025-09-30T18:43:50.7549230Z,11,82
2025-09-30T18:43:50.7574260Z,3,51
2025-09-30T18:43:50.7909188Z,32,49
2025-09-30T18:43:50.7940039Z,3,07
2025-09-30T18:43:50.8274472Z,31,41
2025-09-30T18:43:50.8414419Z,16,05
2025-09-30T18:43:50.8700680Z,29,62
2025-09-30T18:43:50.8720788Z,2,01
2025-09-30T18:43:50.9115194Z,38,44
2025-09-30T18:43:50.9131429Z,1,00
2025-09-30T18:43:50.9375552Z,25,04
2025-09-30T18:43:50.9405591Z,3,00
2025-09-30T18:43:50.9788200Z,38,25
2025-09-30T18:43:50.9860713Z,5,15
2025-09-30T18:43:51.0179718Z,28,33
2025-09-30T18:43:51.0390484Z,15,23
2025-09-30T18:43:51.0533369Z,26,31
2025-09-30T18:43:51.0558572Z,2,52
2025-09-30T18:43:51.0872278Z,30,87
2025-09-30T18:43:51.0892349Z,2,01
2025-09-30T18:43:51.1214491Z,32,21
2025-09-30T18:43:51.1239772Z,2,52
2025-09-30T18:43:51.1538826Z,29,91
2025-09-30T18:43:51.1559967Z,2,10
2025-09-30T18:43:51.2086936Z,51,71
2025-09-30T18:43:51.2232803Z,7,05
2025-09-30T18:43:51.2372201Z,22,47
2025-09-30T18:43:51.2392231Z,2,01
2025-09-30T18:43:51.2758839Z,36,65
2025-09-30T18:43:51.2790563Z,3,18
2025-09-30T18:43:51.3034357Z,24,86
2025-09-30T18:43:51.3059954Z,1,52
2025-09-30T18:43:51.3341190Z,29,67
2025-09-30T18:43:51.3364510Z,2,33
2025-09-30T18:43:51.3691529Z,31,70
2025-09-30T18:43:51.3726914Z,2,51
2025-09-30T18:43:51.4347080Z,63,53
2025-09-30T18:43:51.4362423Z,2,04
2025-09-30T18:43:51.4544317Z,17,18
2025-09-30T18:43:51.4569848Z,2,54
2025-09-30T18:43:51.4895937Z,32,12
2025-09-30T18:43:51.4946952Z,3,52
2025-09-30T18:43:51.5228114Z,30,21
2025-09-30T18:43:51.5243385Z,2,52
2025-09-30T18:43:51.5561271Z,31,79
2025-09-30T18:43:51.5581458Z,1,02
2025-09-30T18:43:51.6118688Z,53,74
2025-09-30T18:43:51.6139378Z,1,98
2025-09-30T18:43:51.6427249Z,29,86
2025-09-30T18:43:51.6503788Z,5,47
2025-09-30T18:43:51.6708923Z,21,69
2025-09-30T18:43:51.6735294Z,3,11
2025-09-30T18:43:51.7088171Z,34,30
2025-09-30T18:43:51.7120764Z,3,77
2025-09-30T18:43:51.7358597Z,24,80
2025-09-30T18:43:51.7368772Z,1,02
2025-09-30T18:43:51.7826486Z,38,19
2025-09-30T18:43:51.7904565Z,13,39
2025-09-30T18:43:51.8408674Z,51,41
2025-09-30T18:43:51.8441536Z,3,18
2025-09-30T18:43:51.8803475Z,36,29
2025-09-30T18:43:51.8830769Z,2,00
2025-09-30T18:43:51.9058681Z,22,98
2025-09-30T18:43:51.9078814Z,2,57
2025-09-30T18:43:51.9386643Z,30,78
2025-09-30T18:43:51.9406738Z,2,00
2025-09-30T18:43:51.9919689Z,51,69
2025-09-30T18:43:51.9942200Z,2,86
2025-09-30T18:43:52.0198010Z,24,57
2025-09-30T18:43:52.0228044Z,3,01
2025-09-30T18:43:52.0579326Z,35,13
2025-09-30T18:43:52.0614733Z,3,54
2025-09-30T18:43:52.0952313Z,32,22
2025-09-30T18:43:52.0998044Z,6,11
2025-09-30T18:43:52.1359559Z,27,13
2025-09-30T18:43:52.1506346Z,23,71
2025-09-30T18:43:52.1698507Z,20,21
2025-09-30T18:43:52.1718506Z,2,00
2025-09-30T18:43:52.2072412Z,34,38
2025-09-30T18:43:52.2114543Z,4,22
2025-09-30T18:43:52.2370938Z,25,63
2025-09-30T18:43:52.2401111Z,3,03
2025-09-30T18:43:52.2715537Z,32,44
2025-09-30T18:43:52.2832132Z,2,76
2025-09-30T18:43:52.3241899Z,49,37
2025-09-30T18:43:52.3331767Z,5,15
2025-09-30T18:43:52.3544487Z,24,02
2025-09-30T18:43:52.3559665Z,1,60
2025-09-30T18:43:52.3874698Z,33,02
2025-09-30T18:43:52.3904962Z,2,04
2025-09-30T18:43:52.4210276Z,31,52
2025-09-30T18:43:52.4306673Z,3,08
2025-09-30T18:43:52.4857853Z,61,68
2025-09-30T18:43:52.4893131Z,2,52
2025-09-30T18:43:52.5275033Z,38,20
2025-09-30T18:43:52.5300474Z,2,52
2025-09-30T18:43:52.5529332Z,22,40
2025-09-30T18:43:52.5544561Z,3,03
2025-09-30T18:43:52.6004523Z,38,35
2025-09-30T18:43:52.6213424Z,13,26
2025-09-30T18:43:52.6370674Z,30,01
2025-09-30T18:43:52.6392976Z,2,22
2025-09-30T18:43:52.6749610Z,35,66
2025-09-30T18:43:52.6780041Z,3,02
2025-09-30T18:43:52.7042782Z,25,74
2025-09-30T18:43:52.7073634Z,3,11
2025-09-30T18:43:52.7492530Z,42,43
2025-09-30T18:43:52.7512491Z,1,99
2025-09-30T18:43:52.8043435Z,54,09
2025-09-30T18:43:52.8105659Z,3,23
2025-09-30T18:43:52.8459769Z,36,88
2025-09-30T18:43:52.8490171Z,4,56
2025-09-30T18:43:52.8771079Z,27,10
2025-09-30T18:43:52.8802530Z,3,14
2025-09-30T18:43:52.9144098Z,32,62
2025-09-30T18:43:52.9215306Z,8,66
2025-09-30T18:43:52.9830843Z,61,02
2025-09-30T18:43:52.9861311Z,4,58
2025-09-30T18:43:53.0060389Z,19,91
2025-09-30T18:43:53.0095655Z,2,51
2025-09-30T18:43:53.0421828Z,32,64
2025-09-30T18:43:53.0452149Z,2,51
2025-09-30T18:43:53.0711927Z,26,48
2025-09-30T18:43:53.0737331Z,2,53
2025-09-30T18:43:53.1396722Z,65,96
2025-09-30T18:43:53.1411953Z,2,52
2025-09-30T18:43:53.1763598Z,33,58
2025-09-30T18:43:53.1835284Z,7,23
2025-09-30T18:43:53.2100158Z,26,63
2025-09-30T18:43:53.2130617Z,2,91
2025-09-30T18:43:53.2382251Z,26,68
2025-09-30T18:43:53.2407581Z,1,52
2025-09-30T18:43:53.2931830Z,36,79
2025-09-30T18:43:53.2967299Z,19,20
2025-09-30T18:43:53.3216558Z,24,93
2025-09-30T18:43:53.3279870Z,4,65
2025-09-30T18:43:53.3533017Z,27,49
2025-09-30T18:43:53.3558251Z,2,53
2025-09-30T18:43:53.3911955Z,34,86
2025-09-30T18:43:53.3969021Z,4,63
2025-09-30T18:43:53.4252112Z,28,39
