Timestamp,Delta_ms
2025-09-30T18:19:12.8548296Z,1,01
2025-09-30T18:19:12.8643713Z,1,98
2025-09-30T18:19:12.8750705Z,1,09
2025-09-30T18:19:12.8805992Z,1,00
2025-09-30T18:19:12.8866873Z,1,03
2025-09-30T18:19:12.8927434Z,1,00
2025-09-30T18:19:12.8999925Z,0,00
2025-09-30T18:19:12.9127619Z,1,00
2025-09-30T18:19:12.9198970Z,7,14
2025-09-30T18:19:12.9249708Z,2,57
2025-09-30T18:19:12.9295048Z,5,53
2025-09-30T18:19:12.9355828Z,1,01
2025-09-30T18:19:12.9497111Z,4,07
2025-09-30T18:19:12.9598194Z,2,02
2025-09-30T18:19:12.9664639Z,3,13
2025-09-30T18:19:12.9715044Z,0,00
2025-09-30T18:19:12.9781156Z,1,02
2025-09-30T18:19:12.9837396Z,0,00
2025-09-30T18:19:12.9944181Z,1,58
2025-09-30T18:19:13.0047266Z,1,54
2025-09-30T18:19:13.0105783Z,3,84
2025-09-30T18:19:13.0188850Z,1,52
2025-09-30T18:19:13.0255193Z,1,56
2025-09-30T18:19:13.0331607Z,0,00
2025-09-30T18:19:13.0382084Z,2,61
2025-09-30T18:19:13.0417299Z,0,00
2025-09-30T18:19:13.0468047Z,1,55
2025-09-30T18:19:13.0551502Z,1,01
2025-09-30T18:19:13.0647888Z,0,00
2025-09-30T18:19:13.0745710Z,1,53
2025-09-30T18:19:13.0879302Z,0,00
2025-09-30T18:19:13.1046488Z,8,63
2025-09-30T18:19:13.1179154Z,1,51
2025-09-30T18:19:13.1265084Z,1,00
2025-09-30T18:19:13.1315556Z,2,01
2025-09-30T18:19:13.1391609Z,1,01
2025-09-30T18:19:13.1468000Z,1,01
2025-09-30T18:19:13.1525790Z,3,76
2025-09-30T18:19:13.1571188Z,1,01
2025-09-30T18:19:13.1649415Z,1,00
2025-09-30T18:19:13.1730266Z,6,54
2025-09-30T18:19:13.1781004Z,1,00
2025-09-30T18:19:13.1897431Z,1,01
2025-09-30T18:19:13.1950350Z,1,01
2025-09-30T18:19:13.2065665Z,2,01
2025-09-30T18:19:13.2191937Z,1,51
2025-09-30T18:19:13.2256627Z,1,01
2025-09-30T18:19:13.2397732Z,1,02
2025-09-30T18:19:13.2616791Z,1,52
2025-09-30T18:19:13.2669956Z,1,51
2025-09-30T18:19:13.2730762Z,0,00
2025-09-30T18:19:13.2796509Z,1,00
2025-09-30T18:19:13.2889958Z,2,02
2025-09-30T18:19:13.2936198Z,0,55
2025-09-30T18:19:13.3001571Z,1,01
2025-09-30T18:19:13.3063694Z,0,00
2025-09-30T18:19:13.3175557Z,9,66
2025-09-30T18:19:13.3231379Z,3,56
2025-09-30T18:19:13.3286935Z,2,02
2025-09-30T18:19:13.3357482Z,1,01
2025-09-30T18:19:13.3427964Z,1,00
2025-09-30T18:19:13.3501708Z,0,00
2025-09-30T18:19:13.3598022Z,1,00
2025-09-30T18:19:13.3669336Z,6,61
2025-09-30T18:19:13.3744656Z,1,61
2025-09-30T18:19:13.3851102Z,1,00
2025-09-30T18:19:13.3997431Z,0,51
2025-09-30T18:19:13.4050691Z,1,00
2025-09-30T18:19:13.4105946Z,2,01
2025-09-30T18:19:13.4154430Z,1,00
2025-09-30T18:19:13.4212430Z,2,27
2025-09-30T18:19:13.4263000Z,1,51
2025-09-30T18:19:13.4355574Z,1,51
2025-09-30T18:19:13.4405697Z,1,00
2025-09-30T18:19:13.4454962Z,0,00
2025-09-30T18:19:13.4527657Z,2,15
2025-09-30T18:19:13.4583467Z,1,01
2025-09-30T18:19:13.4634334Z,0,00
2025-09-30T18:19:13.4694546Z,1,00
2025-09-30T18:19:13.4751339Z,1,01
